Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2006930001989,345840,731400,-2.880726,56.471652,Tayside,Slight,1,1,20/05/2006,Saturday,22:15,Dundee City,Dundee City,B,978,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930001996,338740,733720,-2.996502,56.491622,Tayside,Slight,1,1,20/05/2006,Saturday,02:30,Dundee City,Dundee City,B,960,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2006930001997,343070,731720,-2.925753,56.4742,Tayside,Slight,3,2,20/05/2006,Saturday,15:00,Dundee City,Dundee City,A,972,Roundabout,40,Roundabout,Give way or uncontrolled,B,959,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001998,338790,729240,-2.994638,56.451385,Tayside,Slight,1,1,20/05/2006,Saturday,19:00,Dundee City,Dundee City,A,85,Single carriageway,50,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2006930002009,340100,730000,-2.973563,56.458381,Tayside,Serious,2,1,17/05/2006,Wednesday,13:40,Dundee City,Dundee City,Unclassified,0,Dual carriageway,30,T or staggered junction,Auto traffic signal,C,253,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930002029,343360,731090,-2.920909,56.468576,Tayside,Serious,1,4,21/05/2006,Sunday,02:30,Dundee City,Dundee City,A,930,Roundabout,40,Roundabout,Give way or uncontrolled,Unclassified,0,None within 50 metres ,Central refuge,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930002039,342300,732350,-2.93839,56.479765,Tayside,Slight,2,1,24/05/2006,Wednesday,16:00,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930002046,338870,729450,-2.993389,56.453282,Tayside,Slight,2,1,26/05/2006,Friday,12:20,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930002058,338890,730740,-2.993367,56.464873,Tayside,Serious,1,1,24/05/2006,Wednesday,22:20,Dundee City,Dundee City,A,923,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2006930002094,340550,730530,-2.966383,56.463199,Tayside,Slight,1,1,30/05/2006,Tuesday,17:00,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Crossroads,Auto traffic signal,Unclassified,0,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
