Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2016930000446,342602,732848,-2.933598,56.484276,Tayside,Slight,2,2,05/07/2016,Tuesday,12:10,Dundee City,Dundee City,C,211,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000447,341059,731462,-2.958335,56.471635,Tayside,Slight,2,1,06/07/2016,Wednesday,14:30,Dundee City,Dundee City,C,211,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000449,339910,731276,-2.97694,56.469819,Tayside,Slight,1,1,11/07/2016,Monday,18:10,Dundee City,Dundee City,C,215,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000453,342846,734064,-2.929904,56.495229,Tayside,Serious,2,1,15/07/2016,Friday,15:55,Dundee City,Dundee City,C,239,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2016930000471,338780,730897,-2.99519,56.466269,Tayside,Slight,2,4,30/07/2016,Saturday,15:37,Dundee City,Dundee City,C,233,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000474,345191,732035,-2.891393,56.477282,Tayside,Serious,2,4,26/07/2016,Tuesday,20:55,Dundee City,Dundee City,A,92,Dual carriageway,40,More than 4 arms (not roundabout),Auto traffic signal,B,978,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Raining no high winds,Dry,None,None,Urban,Yes,
2016930000478,340574,730569,-2.966003,56.463553,Tayside,Slight,2,1,03/05/2016,Tuesday,16:50,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000479,338905,733217,-2.993706,56.487125,Tayside,Slight,2,3,28/07/2016,Thursday,19:45,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000481,341095,731203,-2.957692,56.469313,Tayside,Serious,2,1,29/07/2016,Friday,22:50,Dundee City,Dundee City,A,929,Single carriageway,30,T or staggered junction,Auto traffic signal,A,929,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000482,335421,730540,-3.049608,56.462613,Tayside,Slight,2,1,01/08/2016,Monday,07:57,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Other junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
